ID	Gold	Text
song1-01	anticipation	In the year of 2525
song1-02	fear	If man is still alive
song1-03	fear	If woman can survive
song1-04	anticipation	They may find
song1-05	anticipation	In the year of 3535
song1-06	trust	Can't tell the truth, can't tell no lie
song1-07	trust	Everything you think, do and say
song1-08	disgust	Is in the pill you took today
song1-09	anticipation	In the year of 4545
song1-10	disgust	Won't need no teeth ,won't need your eyes
song1-11	disgust	Won't find a thing to do
song1-12	disgust	Nobody's gonna look at you
song1-13	anticipation	In the year of 5555
song1-14	disgust	Your arms are hanging limp at your side
song1-15	disgust	Your legs have nothing to do
song1-16	disgust	Some machines doin' that for you
song1-17	anticipation	In the year of 6565
song1-18	disgust	Won't need no husband, won't need no wife
song1-19	disgust	You'll pick your sons, pick your daughters too
song1-20	disgust	From the bottom of a long glass tube wouwo
song1-21	anticipation	In the year of 7510
song1-22	anticipation	If god is commin' he should make it by then
song1-23	anticipation	Maybe he'll look around and say:
song1-24	fear	Now it's time for the judgement day!
song1-25	anticipation	In the year of 8510
song1-26	trust	God is gonna shake his mighty hand
song1-27	trust	He'll leave a salient place where man has been
song1-28	trust	Or tear it down and start again wouwo
song1-29	anticipation	In the year of 9595
song1-30	fear	I'm wondering if man is gonna be alive
song1-31	anger	He's taken everything earth had to give
song1-32	anger	And he's put back nothing wouwo
song1-33	sadness	Now it's been 10.000 years man has cried a million tears
song1-34	sadness	For what he never knew now man's dream is through
song1-35	trust	But through eternal light the twinklin' of starlight
song1-36	sadness	So very faw away now it's night to yesterday
song2-01	anticipation	When I look into your eyes
song2-02	sadness	I can see a love restrained
song2-03	anticipation	But darlin' when I hold you
song2-04	trust	Don't you know I feel the same
song2-05	trust	Cause nothin' lasts forever
song2-06	trust	And we both know hearts can change
song2-07	sadness	And it's hard to hold a candle
song2-08	sadness	In the cold November rain
song2-09	sadness	We've been through this such a long long time
song2-10	sadness	Just tryin' to kill the pain
song2-11	sadness	But lovers always come and lovers always go
song2-12	fear	An no one's really sure who's lettin' go today
song2-13	fear	Walking away
song2-14	trust	If we could take the time
song2-15	trust	to lay it on the line
song2-16	trust	I could rest my head
song2-17	trust	Just knowin' that you were mine
song2-18	trust	All mine
song2-19	anticipation	So if you want to love me
song2-20	anticipation	then darlin' don't refrain
song2-21	anticipation	Or I'll just end up walkin'
song2-22	sadness	In the cold November rain
song2-23	sadness	Do you need some time...on your own
song2-24	sadness	Do you need some time...all alone
song2-25	trust	Everybody needs some time...
song2-26	sadness	on their own
song2-27	sadness	Don't you know you need some time...all alone
song2-28	sadness	I know it's hard to keep an open heart
song2-29	sadness	When even friends seem out to harm you
song2-30	anticipation	But if you could heal a broken heart
song2-31	anticipation	Wouldn't time be out to charm you
song2-32	sadness	Sometimes I need some time…
song2-33	sadness	on my own
song2-34	sadness	Sometimes I need some time...all alone
song2-35	sadness	Everybody needs some time...
song2-36	sadness	on their own
song2-37	sadness	Don't you know you need some time...all alone
song2-38	anticipation	And when your fears subside
song2-39	sadness	And shadows still remain
song2-40	trust	I know that you can love me
song2-41	anticipation	When there's no one left to blame
song2-42	sadness	So never mind the darkness
song2-43	trust	We still can find a way
song2-44	sadness	Cause nothin' lasts forever
song2-45	sadness	Even cold November rain
song2-46	trust	Don't ya think that you need somebody
song2-47	trust	Don't ya think that you need someone
song2-48	trust	Everybody needs somebody
song2-49	trust	You're not the only one
song2-50	trust	You're not the only one
song3-01	joy	My radio, believe me, I like it loud
song3-02	trust	I'm the man with a box that can rock the crowd
song3-03	joy	Walkin' down the street, to the hardcore beat
song3-04	joy	While my JVC vibrates the concrete
song3-05	trust	I'm sorry if you can't understand
song3-06	trust	But I need a radio inside my hand
song3-07	trust	Don't mean to offend other citizens
song3-08	joy	But I kick my volume way past 10
song3-09	sadness	My story is rough, my neighbourhood is tough
song3-10	trust	But I still sport gold, and I'm out to crush
song3-11	trust	My name is Cool J, I devastate the show
song3-12	trust	But I couldn't survive without my radio
song3-13	trust	Terrorising my neighbours with the heavy bass
song3-14	trust	I keep the suckas in fear by the look on my face
song3-15	trust	My radio's bad from the Boulevard
song3-16	trust	I'm a hip-hop gangster and my name is Todd
song3-17	joy	Just stimulated by the beat, bust out the rhyme
