ID	Gold	Text
song1-01	positive	In the year of 2525
song1-02	negative	If man is still alive
song1-03	negative	If woman can survive
song1-04	positive	They may find
song1-05	positive	In the year of 3535
song1-06	positive	Can't tell the truth, can't tell no lie
song1-07	positive	Everything you think, do and say
song1-08	negative	Is in the pill you took today
song1-09	positive	In the year of 4545
song1-10	negative	Won't need no teeth ,won't need your eyes
song1-11	negative	Won't find a thing to do
song1-12	negative	Nobody's gonna look at you
song1-13	positive	In the year of 5555
song1-14	negative	Your arms are hanging limp at your side
song1-15	negative	Your legs have nothing to do
song1-16	negative	Some machines doin' that for you
song1-17	positive	In the year of 6565
song1-18	negative	Won't need no husband, won't need no wife
song1-19	negative	You'll pick your sons, pick your daughters too
song1-20	negative	From the bottom of a long glass tube wouwo
song1-21	positive	In the year of 7510
song1-22	positive	If god is commin' he should make it by then
song1-23	positive	Maybe he'll look around and say:
song1-24	negative	Now it's time for the judgement day!
song1-25	positive	In the year of 8510
song1-26	positive	God is gonna shake his mighty hand
song1-27	positive	He'll leave a salient place where man has been
song1-28	positive	Or tear it down and start again wouwo
song1-29	positive	In the year of 9595
song1-30	negative	I'm wondering if man is gonna be alive
song1-31	negative	He's taken everything earth had to give
song1-32	negative	And he's put back nothing wouwo
song1-33	negative	Now it's been 10.000 years man has cried a million tears
song1-34	negative	For what he never knew now man's dream is through
song1-35	positive	But through eternal light the twinklin' of starlight
song1-36	negative	So very far away now it's night to yesterday
song2-01	positive	When I look into your eyes
song2-02	negative	I can see a love restrained
song2-03	positive	But darlin' when I hold you
song2-04	positive	Don't you know I feel the same
song2-05	positive	Cause nothin' lasts forever
song2-06	positive	And we both know hearts can change
song2-07	negative	And it's hard to hold a candle
song2-08	negative	In the cold November rain
song2-09	negative	We've been through this such a long long time
song2-10	negative	Just tryin' to kill the pain
song2-11	negative	But lovers always come and lovers always go
song2-12	negative	An no one's really sure who's lettin' go today
song2-13	negative	Walking away
song2-14	positive	If we could take the time
song2-15	positive	to lay it on the line
song2-16	positive	I could rest my head
song2-17	positive	Just knowin' that you were mine
song2-18	positive	All mine
song2-19	positive	So if you want to love me
song2-20	positive	then darlin' don't refrain
song2-21	positive	Or I'll just end up walkin'
song2-22	negative	In the cold November rain
song2-23	negative	Do you need some time...on your own
song2-24	negative	Do you need some time...all alone
song2-25	positive	Everybody needs some time...
song2-26	negative	on their own
song2-27	negative	Don't you know you need some time...all alone
song2-28	negative	I know it's hard to keep an open heart
song2-29	negative	When even friends seem out to harm you
song2-30	positive	But if you could heal a broken heart
song2-31	positive	Wouldn't time be out to charm you
song2-32	negative	Sometimes I need some time…
song2-33	negative	on my own
song2-34	negative	Sometimes I need some time...all alone
song2-35	negative	Everybody needs some time...
song2-36	negative	on their own
song2-37	negative	Don't you know you need some time...all alone
song2-38	positive	And when your fears subside
song2-39	negative	And shadows still remain
song2-40	positive	I know that you can love me
song2-41	positive	When there's no one left to blame
song2-42	negative	So never mind the darkness
song2-43	positive	We still can find a way
song2-44	negative	Cause nothin' lasts forever
song2-45	negative	Even cold November rain
song2-46	positive	Don't ya think that you need somebody
song2-47	positive	Don't ya think that you need someone
song2-48	positive	Everybody needs somebody
song2-49	positive	You're not the only one
song2-50	positive	You're not the only one
song3-01	positive	My radio, believe me, I like it loud
song3-02	positive	I'm the man with a box that can rock the crowd
song3-03	positive	Walkin' down the street, to the hardcore beat
song3-04	positive	While my JVC vibrates the concrete
song3-05	positive	I'm sorry if you can't understand
song3-06	positive	But I need a radio inside my hand
song3-07	positive	Don't mean to offend other citizens
song3-08	positive	But I kick my volume way past 10
song3-09	negative	My story is rough, my neighbourhood is tough
song3-10	positive	But I still sport gold, and I'm out to crush
song3-11	positive	My name is Cool J, I devastate the show
song3-12	positive	But I couldn't survive without my radio
song3-13	positive	Terrorising my neighbours with the heavy bass
song3-14	positive	I keep the suckas in fear by the look on my face
song3-15	positive	My radio's bad from the Boulevard
song3-16	positive	I'm a hip-hop gangster and my name is Todd
song3-17	positive	Just stimulated by the beat, bust out the rhyme
song3-18	positive	Get fresh batteries if it won't rewind
